id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
14,The Lone Ranger,03/07/2013,149,United States of America,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale","Director:  Gore Verbinski , Screenwriter:  Ted Elliott,Screenwriter:  Terry Rossio,Screenwriter:  Justin Haythe , Producer:  Gore Verbinski,Producer:  Jerry Bruckheimer",,,,,,,
15,Man of Steel,12/06/2013,143,"United Kingdom,United States of America","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane","Director:  Zack Snyder , Screenwriter:  David S. Goyer , Producer:  Charles Roven,Producer:  Christopher Nolan,Producer:  Emma Thomas,Producer:  Deborah Snyder",,,,,,,
16,The Chronicles of Narnia: Prince Caspian,15/05/2008,150,"Czech Republic,Poland,Slovenia,United States of America","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley","Director:  Andrew Adamson , Screenwriter:  Andrew Adamson,Screenwriter:  Christopher Markus,Screenwriter:  Stephen McFeely , Producer:  Mark Johnson,Producer:  Andrew Adamson,Producer:  Philip Steuer",,,,,,,
17,The Avengers,25/04/2012,143,United States of America,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson","Director:  Joss Whedon , Screenwriter:  Joss Whedon , Producer:  Kevin Feige",,,,,,,
18,Pirates of the Caribbean: On Stranger Tides,14/05/2011,136,United States of America,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","Johnny Depp,Pen\u00e9lope Cruz,Ian McShane,Kevin McNally,Geoffrey Rush","Director:  Rob Marshall , Screenwriter:  Ted Elliott,Screenwriter:  Terry Rossio , Producer:  Jerry Bruckheimer",,,,,,,
19,Men in Black 3,23/05/2012,106,United States of America,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson","Director:  Barry Sonnenfeld , Screenwriter:  Etan Cohen , Producer:  Walter F. Parkes,Producer:  Laurie MacDonald",,,,,,,
20,The Hobbit: The Battle of the Five Armies,10/12/2014,144,"New Zealand,United States of America","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish","Director:  Peter Jackson , Screenwriter:   , Producer:  Peter Jackson,Producer:  Fran Walsh,Producer:  Carolynne Cunningham,Producer:  Zane Weiner",,,,,,,
21,The Amazing Spider-Man,27/06/2012,136,United States of America,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott","Director:  Marc Webb , Screenwriter:  Alvin Sargent,Screenwriter:  Steve Kloves,Screenwriter:  James Vanderbilt , Producer:  Laura Ziskin,Producer:  Avi Arad,Producer:  Matt Tolmach",,,,,,,
22,Robin Hood,12/05/2010,140,"United Kingdom,United States of America","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong","Director:  Ridley Scott , Screenwriter:  Brian Helgeland , Producer:  Brian Grazer,Producer:  Ridley Scott,Producer:  Russell Crowe",,,,,,,
23,The Hobbit: The Desolation of Smaug,11/12/2013,161,"New Zealand,United States of America","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish","Director:  Peter Jackson , Screenwriter:  Peter Jackson,Screenwriter:  Fran Walsh,Screenwriter:  Philippa Boyens,Screenwriter:  Guillermo del Toro , Producer:  Peter Jackson,Producer:  Fran Walsh,Producer:  Carolynne Cunningham,Producer:  Zane Weiner",,,,,,,
24,The Golden Compass,04/12/2007,113,"United Kingdom,United States of America","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green","Director:  Chris Weitz , Screenwriter:  Chris Weitz , Producer:  Bill Carraro,Producer:  Deborah Forte",,,,,,,
25,King Kong,14/12/2005,187,"New Zealand,United States of America,Germany","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks","Director:  Peter Jackson , Screenwriter:   , Producer:  Peter Jackson,Producer:  Fran Walsh,Producer:  Jan Blenkin,Producer:  Carolynne Cunningham",,,,,,,
26,Titanic,18/11/1997,194,United States of America,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","Kate Winslet,Leonardo DiCaprio,Frances Fisher,Billy Zane,Kathy Bates","Director:  James Cameron , Screenwriter:  James Cameron , Producer:  James Cameron,Producer:  Jon Landau",,,,,,,
27,Captain America: Civil War,27/04/2016,147,United States of America,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie","Director:  Anthony Russo,Director:  Joe Russo , Screenwriter:  Christopher Markus,Screenwriter:  Stephen McFeely , Producer:  Kevin Feige",,,,,,,
28,Battleship,11/04/2012,131,United States of America,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","Taylor Kitsch,Alexander Skarsg\u00e5rd,Rihanna,Brooklyn Decker,Tadanobu Asano","Director:  Peter Berg , Screenwriter:  Erich Hoeber,Screenwriter:  Jon Hoeber , Producer:  Duncan Henderson,Producer:  Scott Stuber,Producer:  Brian Goldner,Producer:  Peter Berg,Producer:  Sarah Aubrey,Producer:  Bennett Schneir",,,,,,,
29,Jurassic World,09/06/2015,124,United States of America,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson","Director:  Colin Trevorrow , Screenwriter:  Rick Jaffa,Screenwriter:  Amanda Silver,Screenwriter:  Colin Trevorrow,Screenwriter:  Derek Connolly , Producer:  Frank Marshall,Producer:  Patrick Crowley",,,,,,,
30,Skyfall,25/10/2012,143,"United Kingdom,United States of America","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris","Director:  Sam Mendes , Screenwriter:   , Producer:  Barbara Broccoli,Producer:  Michael G. Wilson",,,,,,,
31,Spider-Man 2,25/06/2004,127,United States of America,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina,Rosemary Harris","Director:  Sam Raimi , Screenwriter:  Alvin Sargent , Producer:  Laura Ziskin,Producer:  Avi Arad,Producer:  Lorne Orleans",,,,,,,
32,Iron Man 3,18/04/2013,130,"China,United States of America","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall","Director:  Shane Black , Screenwriter:  Shane Black,Screenwriter:  Drew Pearce , Producer:  Kevin Feige",,,,,,,
33,Alice in Wonderland,03/03/2010,108,United States of America,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","Mia Wasikowska,Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover","Director:  Tim Burton , Screenwriter:  Linda Woolverton , Producer:  Jennifer Todd,Producer:  Suzanne Todd,Producer:  Richard D. Zanuck,Producer:  Katterli Frauenfelder,Producer:  Joe Roth,Producer:  Derek Frey,Producer:  Tom C. Peitzman",,,,,,,
34,X-Men: The Last Stand,24/05/2006,104,"Canada,United Kingdom,United States of America","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","Hugh Jackman,Halle Berry,Ian McKellen,Patrick Stewart,Famke Janssen","Director:  Brett Ratner , Screenwriter:  Simon Kinberg,Screenwriter:  Zak Penn , Producer:  Ralph Winter,Producer:  Lauren Shuler Donner,Producer:  Avi Arad",,,,,,,
35,Monsters University,20/06/2013,104,United States of America,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Noah Johnston","Director:  Dan Scanlon , Screenwriter:  Daniel Gerson,Screenwriter:  Robert L. Baird,Screenwriter:  Dan Scanlon , Producer:  Kori Rae",,,,,,,
36,Transformers: Revenge of the Fallen,19/06/2009,150,United States of America,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","Shia LaBeouf,Megan Fox,Josh Duhamel,Rainn Wilson,Tyrese Gibson","Director:  Michael Bay , Screenwriter:  Ehren Kruger , Producer:  Don Murphy,Producer:  Ian Bryce,Producer:  Lorenzo di Bonaventura,Producer:  Tom DeSanto",,,,,,,
37,Transformers: Age of Extinction,25/06/2014,165,United States of America,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Nicola Peltz,Jack Reynor","Director:  Michael Bay , Screenwriter:  Ehren Kruger , Producer:  Don Murphy,Producer:  Ian Bryce,Producer:  Lorenzo di Bonaventura,Producer:  Tom DeSanto",,,,,,,
38,Oz: The Great and Powerful,07/03/2013,130,United States of America,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","James Franco,Mila Kunis,Rachel Weisz,Michelle Williams,Zach Braff","Director:  Sam Raimi , Screenwriter:  Mitchell Kapner,Screenwriter:  David Lindsay-Abaire , Producer:  Joe Roth",,,,,,,
39,The Amazing Spider-Man 2,16/04/2014,142,United States of America,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Campbell Scott","Director:  Marc Webb , Screenwriter:  Alex Kurtzman,Screenwriter:  Roberto Orci,Screenwriter:  Jeff Pinkner , Producer:  Avi Arad,Producer:  Matt Tolmach",,,,,,,
40,TRON: Legacy,10/12/2010,125,United States of America,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","Garrett Hedlund,Jeff Bridges,Olivia Wilde,Bruce Boxleitner,Yaya DaCosta","Director:  Joseph Kosinski , Screenwriter:  Steven Lisberger,Screenwriter:  Richard Jefferies,Screenwriter:  Edward Kitsis,Screenwriter:  Adam Horowitz , Producer:  Steven Lisberger,Producer:  Jeffrey Silver,Producer:  Sean Bailey",,,,,,,
41,Cars 2,11/06/2011,106,United States of America,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"Owen Wilson,Larry the Cable Guy,Michael Caine,Emily Mortimer,John Turturro","Director:  John Lasseter,Director:  Brad Lewis , Screenwriter:  Ben Queen , Producer:  Denise Ream",,,,,,,
42,Green Lantern,16/06/2011,114,United States of America,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","Ryan Reynolds,Blake Lively,Peter Sarsgaard,Tim Robbins,Mark Strong","Director:  Martin Campbell , Screenwriter:  Michael Goldenberg,Screenwriter:  Greg Berlanti,Screenwriter:  Marc Guggenheim,Screenwriter:  Michael Green , Producer:  Donald De Line,Producer:  Greg Berlanti,Producer:  Geoff Johns",,,,,,,
43,Toy Story 3,16/06/2010,103,United States of America,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Tom Hanks,Tim Allen,Ned Beatty,Joan Cusack,Michael Keaton","Director:  Lee Unkrich , Screenwriter:  Michael Arndt , Producer:  John Lasseter,Producer:  Darla K. Anderson",,,,,,,
44,Terminator Salvation,20/05/2009,115,"Germany,Italy,United Kingdom,United States of America","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Bryce Dallas Howard","Director:  McG , Screenwriter:   , Producer:  Moritz Borman,Producer:  Jeffrey Silver,Producer:  Derek Anderson,Producer:  Victor Kubicek",,,,,,,
45,Furious 7,01/04/2015,137,"Japan,United States of America",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Tyrese Gibson","Director:  James Wan , Screenwriter:   , Producer:  Michael Fottrell,Producer:  Neal H. Moritz,Producer:  Vin Diesel,Producer:  Brandon Birtell",,,,,,,
46,World War Z,20/06/2013,116,"United States of America,Malta","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","Brad Pitt,Mireille Enos,Abigail Hargrove,Sterling Jerins,James Badge Dale","Director:  Marc Forster , Screenwriter:  Matthew Michael Carnahan,Screenwriter:  Drew Goddard,Screenwriter:  Damon Lindelof , Producer:  Brad Pitt,Producer:  Ian Bryce,Producer:  Dede Gardner,Producer:  Jeremy Kleiner",,,,,,,
47,X-Men: Days of Future Past,15/05/2014,131,"United Kingdom,United States of America",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"Hugh Jackman,James McAvoy,Michael Fassbender,Jennifer Lawrence,Halle Berry","Director:  Bryan Singer , Screenwriter:  Simon Kinberg , Producer:  Lauren Shuler Donner,Producer:  Bryan Singer,Producer:  Simon Kinberg,Producer:  Hutch Parker",,,,,,,
48,Star Trek Into Darkness,05/05/2013,132,United States of America,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,Simon Pegg","Director:  J.J. Abrams , Screenwriter:  Alex Kurtzman,Screenwriter:  Roberto Orci,Screenwriter:  Damon Lindelof , Producer:  J.J. Abrams,Producer:  Alex Kurtzman,Producer:  Roberto Orci,Producer:  Bryan Burk,Producer:  Damon Lindelof",,,,,,,
49,Jack the Giant Slayer,27/02/2013,114,United States of America,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Stanley Tucci,Ian McShane","Director:  Bryan Singer , Screenwriter:  Christopher McQuarrie,Screenwriter:  Dan Studney,Screenwriter:  Darren Lemke  , Producer:  David Dobkin",,,,,,,
