movie_id,crew_id,name,role
23,126,Fran Walsh,Screenplay
23,128,Philippa Boyens,Screenplay
23,10828,Guillermo del Toro,Screenplay
24,3288,Chris Weitz,Director
24,23420,Bill Carraro,Producer
24,23421,Deborah Forte,Producer
24,3288,Chris Weitz,Screenplay
25,108,Peter Jackson,Director
25,108,Peter Jackson,Producer
25,126,Fran Walsh,Producer
25,3505,Jan Blenkin,Producer
25,3506,Carolynne Cunningham,Producer
26,2710,James Cameron,Director
26,2710,James Cameron,Producer
26,8529,Jon Landau,Producer
26,2710,James Cameron,Screenplay
27,19271,Anthony Russo,Director
27,19272,Joe Russo,Director
27,10850,Kevin Feige,Producer
27,5551,Christopher Markus,Screenplay
27,5552,Stephen McFeely,Screenplay
28,36602,Peter Berg,Director
28,6870,Duncan Henderson,Producer
28,19282,Scott Stuber,Producer
28,24308,Brian Goldner,Producer
28,36602,Peter Berg,Producer
28,50769,Sarah Aubrey,Producer
28,937231,Bennett Schneir,Producer
28,112947,Erich Hoeber,Screenplay
28,112948,Jon Hoeber,Screenplay
29,930707,Colin Trevorrow,Director
29,664,Frank Marshall,Producer
29,25600,Patrick Crowley,Producer
29,67802,Rick Jaffa,Screenplay
29,67803,Amanda Silver,Screenplay
29,930707,Colin Trevorrow,Screenplay
29,1020013,Derek Connolly,Screenplay
30,39,Sam Mendes,Director
30,10666,Barbara Broccoli,Producer
30,69678,Michael G. Wilson,Producer
31,7623,Sam Raimi,Director
31,7627,Laura Ziskin,Producer
31,7626,Avi Arad,Producer
31,20643,Lorne Orleans,Producer
31,7630,Alvin Sargent,Screenplay
32,1108,Shane Black,Director
32,10850,Kevin Feige,Producer
32,1108,Shane Black,Screenplay
32,1239407,Drew Pearce,Screenplay
33,510,Tim Burton,Director
33,550,Jennifer Todd,Producer
33,551,Suzanne Todd,Producer
33,1297,Richard D. Zanuck,Producer
33,8275,Katterli Frauenfelder,Producer
33,18311,Joe Roth,Producer
33,959668,Derek Frey,Producer
33,1102209,Tom C. Peitzman,Producer
33,38792,Linda Woolverton,Screenplay
34,11091,Brett Ratner,Director
34,2095,Ralph Winter,Producer
34,7200,Lauren Shuler Donner,Producer
34,7626,Avi Arad,Producer
34,11092,Simon Kinberg,Screenplay
34,11011,Zak Penn,Screenplay
35,225976,Dan Scanlon,Director
35,7880,Kori Rae,Producer
35,7884,Daniel Gerson,Screenplay
35,7931,Robert L. Baird,Screenplay
35,225976,Dan Scanlon,Screenplay
36,865,Michael Bay,Director
36,3183,Don Murphy,Producer
36,9987,Ian Bryce,Producer
36,10952,Lorenzo di Bonaventura,Producer
36,10994,Tom DeSanto,Producer
36,15244,Ehren Kruger,Screenplay
37,865,Michael Bay,Director
37,3183,Don Murphy,Producer
37,9987,Ian Bryce,Producer
37,10952,Lorenzo di Bonaventura,Producer
37,10994,Tom DeSanto,Producer
37,15244,Ehren Kruger,Screenplay
38,7623,Sam Raimi,Director
38,18311,Joe Roth,Producer
38,21218,Mitchell Kapner,Screenplay
38,23766,David Lindsay-Abaire,Screenplay
39,87742,Marc Webb,Director
39,7626,Avi Arad,Producer
39,977941,Matt Tolmach,Producer
39,15345,Alex Kurtzman,Screenplay
39,15346,Roberto Orci,Screenplay
39,168309,Jeff Pinkner,Screenplay
40,86270,Joseph Kosinski,Director
40,12859,Steven Lisberger,Producer
40,20908,Jeffrey Silver,Producer
40,39387,Sean Bailey,Producer
40,12859,Steven Lisberger,Screenplay
40,73570,Richard Jefferies,Screenplay
40,1214366,Edward Kitsis,Screenplay
40,1214367,Adam Horowitz,Screenplay
41,7879,John Lasseter,Director
41,32532,Brad Lewis,Director
41,970529,Denise Ream,Producer
41,129975,Ben Queen,Screenplay
42,10702,Martin Campbell,Director
42,58470,Donald De Line,Producer
42,88967,Greg Berlanti,Producer
42,211962,Geoff Johns,Producer
42,10296,Michael Goldenberg,Screenplay
42,88967,Greg Berlanti,Screenplay
42,171830,Marc Guggenheim,Screenplay
42,191937,Michael Green,Screenplay
43,8,Lee Unkrich,Director
43,7879,John Lasseter,Producer
43,7878,Darla K. Anderson,Producer
43,16961,Michael Arndt,Screenplay
44,36425,McG,Director
44,20295,Moritz Borman,Producer
44,20908,Jeffrey Silver,Producer
44,81142,Derek Anderson,Producer
44,964905,Victor Kubicek,Producer
45,2127,James Wan,Director
45,8181,Michael Fottrell,Producer
45,11874,Neal H. Moritz,Producer
45,12835,Vin Diesel,Producer
45,75826,Brandon Birtell,Producer
46,12995,Marc Forster,Director
46,287,Brad Pitt,Producer
46,9987,Ian Bryce,Producer
46,20458,Dede Gardner,Producer
46,967387,Jeremy Kleiner,Producer
46,36603,Matthew Michael Carnahan,Screenplay
46,47506,Drew Goddard,Screenplay
46,28974,Damon Lindelof,Screenplay
47,9032,Bryan Singer,Director
47,7200,Lauren Shuler Donner,Producer
47,9032,Bryan Singer,Producer
47,11092,Simon Kinberg,Producer
47,584598,Hutch Parker,Producer
47,11092,Simon Kinberg,Screenplay
48,15344,J.J. Abrams,Director
48,15344,J.J. Abrams,Producer
48,15345,Alex Kurtzman,Producer
48,15346,Roberto Orci,Producer
48,28977,Bryan Burk,Producer
48,28974,Damon Lindelof,Producer
48,15345,Alex Kurtzman,Screenplay
48,15346,Roberto Orci,Screenplay
48,28974,Damon Lindelof,Screenplay
49,9032,Bryan Singer,Director
49,42994,David Dobkin,Producer
49,9033,Christopher McQuarrie,Screenplay
49,188869,Dan Studney,Screenplay
49,582919,Darren Lemke ,Screenplay
50,6201,Baz Luhrmann,Director
50,6201,Baz Luhrmann,Producer
50,6203,Catherine Martin,Producer
50,12202,Catherine Knapman,Producer
50,19862,Lucy Fisher,Producer
50,6201,Baz Luhrmann,Screenplay
50,6211,Craig Pearce,Screenplay
51,10723,Mike Newell,Director
51,770,Jerry Bruckheimer,Producer
51,52358,Boaz Yakin,Screenplay
51,81203,Doug Miro,Screenplay
51,121479,Carlo Bernard,Screenplay
52,10828,Guillermo del Toro,Director
52,10828,Guillermo del Toro,Producer
52,61091,Jon Jashni,Producer
52,114408,Mary Parent,Producer
52,54211,Thomas Tull,Producer
52,114016,Travis Beacham,Screenplay
52,10828,Guillermo del Toro,Screenplay
53,865,Michael Bay,Director
53,3183,Don Murphy,Producer
53,9987,Ian Bryce,Producer
53,10952,Lorenzo di Bonaventura,Producer
53,10118,Kenny Bates,Producer
53,10994,Tom DeSanto,Producer
53,15244,Ehren Kruger,Screenplay
54,488,Steven Spielberg,Director
54,664,Frank Marshall,Producer
54,508,David Koepp,Screenplay
55,21198,Peter Sohn,Director
55,7879,John Lasseter,Producer
55,970529,Denise Ream,Producer
55,1457025,Meg LeFauve,Screenplay
56,59803,Brenda Chapman,Director
56,126638,Mark Andrews,Director
56,137262,Steve Purcell,Director
56,7901,Katherine Sarafian,Producer
56,56041,Irene Mecchi,Screenplay
56,59803,Brenda Chapman,Screenplay
56,126638,Mark Andrews,Screenplay
56,137262,Steve Purcell,Screenplay
57,58189,Justin Lin,Director
57,15344,J.J. Abrams,Producer
57,15346,Roberto Orci,Producer
57,28977,Bryan Burk,Producer
57,58189,Justin Lin,Producer
57,11108,Simon Pegg,Screenplay
57,65779,Doug Jung,Screenplay
58,7,Andrew Stanton,Director
58,72752,Jim Morris,Producer
58,72753,Lindsey Collins,Producer
58,7,Andrew Stanton,Screenplay
58,15020,Jim Reardon,Screenplay
59,11091,Brett Ratner,Director
59,4504,Roger Birnbaum,Producer
59,21635,Jonathan Glickman,Producer
59,21636,Arthur M. Sarkissian,Producer
59,41896,Jay Stern,Producer
59,2689,Jeff Nathanson,Screenplay
60,6046,Roland Emmerich,Director
60,511,Larry J. Franco,Producer
60,5430,Harald Kloser,Producer
60,6048,Mark Gordon,Producer
60,27952,Volker Engel,Producer
60,947478,Marc Weigert,Producer
60,1102080,Aaron Boyd,Producer
60,1102081,Kirstin Winkler,Producer
61,24,Robert Zemeckis,Director
61,24,Robert Zemeckis,Screenplay
62,9339,Lilly Wachowski,Director
62,9340,Lana Wachowski,Director
62,8528,Grant Hill,Producer
62,9339,Lilly Wachowski,Producer
62,9340,Lana Wachowski,Producer
63,11343,David Yates,Director
63,1707,Stuart Beattie,Screenplay
63,53267,Craig Brewer,Screenplay
63,1106745,Adam Cozad,Screenplay
64,5524,Andrew Adamson,Director
64,4854,David Minkowski,Producer
64,4856,Matthew Stillman,Producer
64,5162,Mark Johnson,Producer
64,5541,Philip Steuer,Producer
64,5543,Douglas Gresham,Producer
64,5545,K.C. Hodenfield,Producer
64,5524,Andrew Adamson,Screenplay
64,5550,Ann Peacock,Screenplay
64,5551,Christopher Markus,Screenplay
64,5552,Stephen McFeely,Screenplay
65,9032,Bryan Singer,Director
65,7200,Lauren Shuler Donner,Producer
65,11092,Simon Kinberg,Producer
66,525,Christopher Nolan,Director
66,282,Charles Roven,Producer
66,525,Christopher Nolan,Producer
66,556,Emma Thomas,Producer
66,20643,Lorne Orleans,Producer
66,525,Christopher Nolan,Screenplay
66,527,Jonathan Nolan,Screenplay
67,12890,Pete Docter,Director
67,7940,Jonas Rivera,Producer
67,10,Bob Peterson,Screenplay
67,12890,Pete Docter,Screenplay
68,12080,Conrad Vernon,Director
68,65630,Rob Letterman,Director
68,486,Wallace Wolodarsky,Screenplay
68,57743,Glenn Berger,Screenplay
68,57744,Jonathan Aibel,Screenplay
68,67360,Maya Forbes,Screenplay
68,65630,Rob Letterman,Screenplay
69,15277,Jon Favreau,Director
69,7626,Avi Arad,Producer
69,10850,Kevin Feige,Producer
69,18873,Art Marcum,Screenplay
69,18875,Matt Holloway,Screenplay
70,1032,Martin Scorsese,Director
70,85,Johnny Depp,Producer
70,1032,Martin Scorsese,Producer
70,16729,Graham King,Producer
70,114479,Tim Headington,Producer
70,932,John Logan,Screenplay
71,5174,Barry Sonnenfeld,Director
71,3805,Jon Peters,Producer
71,5174,Barry Sonnenfeld,Producer
71,12100,Jeffrey Price,Screenplay
71,12101,Peter S. Seaman,Screenplay
71,26475,Brent Maddock,Screenplay
71,26479,S. S. Wilson,Screenplay
72,18878,Rob Cohen,Director
72,7775,Stephen Sommers,Producer
72,7779,Sean Daniel,Producer
72,18923,Miles Millar,Screenplay
72,18924,Alfred Gough,Screenplay
73,19769,David Ayer,Director
73,282,Charles Roven,Producer
73,18953,Richard Suckle,Producer
74,4499,Tom Shadyac,Director
74,4499,Tom Shadyac,Producer
74,4504,Roger Birnbaum,Producer
74,4505,Michael Bostick,Producer
74,4507,Gary Barber,Producer
74,11874,Neal H. Moritz,Producer
74,4489,Steve Oedekerk,Screenplay
75,11694,Doug Liman,Director
75,10950,Erwin Stoff,Producer
75,8702,Jason Hoffs,Producer
75,20908,Jeffrey Silver,Producer
75,53756,Tom Lassally,Producer
75,119665,Gregory Jacobs,Producer
75,9033,Christopher McQuarrie,Screenplay
75,21339,Jez Butterworth,Screenplay
75,120254,John-Henry Butterworth,Screenplay
76,8300,Kevin Reynolds,Director
76,1093,Lawrence Gordon,Producer
76,1269,Kevin Costner,Producer
76,2043,John Davis,Producer
76,7681,Charles Gordon,Producer
77,7775,Stephen Sommers,Director
77,10952,Lorenzo di Bonaventura,Producer
77,7784,Bob Ducsay,Producer
77,24308,Brian Goldner,Producer
77,1707,Stuart Beattie,Screenplay
77,34672,David Elliot,Screenplay
77,84768,Paul Lovett,Screenplay
78,12890,Pete Docter,Director
78,7940,Jonas Rivera,Producer
78,12890,Pete Docter,Screenplay
78,84496,Josh Cooley,Screenplay
78,1457025,Meg LeFauve,Screenplay
79,15277,Jon Favreau,Director
79,15277,Jon Favreau,Producer
79,1607513,Brigham Taylor,Producer
79,78428,Justin Marks,Screenplay
80,15277,Jon Favreau,Director
80,10850,Kevin Feige,Producer
80,113674,Victoria Alonso,Producer
80,113675,Jeremy Latcham,Producer
80,15009,Justin Theroux,Screenplay
81,228134,Rupert Sanders,Director
81,136,Sam Mercer,Producer
81,18311,Joe Roth,Producer
81,54040,John Lee Hancock,Screenplay
81,56960,Hossein Amini,Screenplay
81,228135,Evan Daugherty,Screenplay
82,1032536,Robert Stromberg,Director
82,12824,Don Hahn,Producer
82,38792,Linda Woolverton,Screenplay
83,32278,Matt Reeves,Director
83,67802,Rick Jaffa,Producer
83,67803,Amanda Silver,Producer
83,266920,Peter Chernin,Producer
83,935717,Dylan Clark,Producer
84,8965,Roland Joff\u00e9,Director
84,48309,Paul Breuls,Producer
84,48310,Catherine Vandeleene,Producer
84,62927,Guy J. Louthan,Producer
84,322424,Grant Bradley,Producer
84,587816,Ajey Jhankar,Producer
84,941088,Dale G. Bradley,Producer
85,239571,Carl Rinsch,Director
85,2445,Eric McLeod,Producer
85,5378,Pamela Abdy,Producer
85,19282,Scott Stuber,Producer
85,58191,Chris Morgan,Screenplay
85,56960,Hossein Amini,Screenplay
86,19271,Anthony Russo,Director
86,19272,Joe Russo,Director
86,10850,Kevin Feige,Producer
86,5551,Christopher Markus,Screenplay
86,5552,Stephen McFeely,Screenplay
87,64151,Mike Mitchell,Director
88,7087,Brad Bird,Director
88,7087,Brad Bird,Producer
88,40592,Jeffrey Chernov,Producer
88,28974,Damon Lindelof,Producer
88,7087,Brad Bird,Screenplay
88,28974,Damon Lindelof,Screenplay
89,70238,Chris Williams,Director
89,227439,Don Hall,Director
89,56612,Roy Conli,Producer
89,7884,Daniel Gerson,Screenplay
89,7931,Robert L. Baird,Screenplay
89,78600,Jordan Roberts,Screenplay
90,165787,Rich Moore,Director
90,69798,Clark Spencer,Producer
90,928605,Monica Lago-Kaytis,Producer
90,567562,Phil Johnston,Screenplay
90,1120694,Jennifer Lee,Screenplay
91,24,Robert Zemeckis,Director
91,24,Robert Zemeckis,Producer
91,30,Steve Starkey,Producer
91,27098,Gary Goetzman,Producer
91,42357,William Teitler,Producer
91,24,Robert Zemeckis,Screenplay
91,142,William Broyles Jr.,Screenplay
92,6046,Roland Emmerich,Director
92,5430,Harald Kloser,Producer
92,6046,Roland Emmerich,Producer
92,8676,Dean Devlin,Producer
92,6046,Roland Emmerich,Screenplay
92,8676,Dean Devlin,Screenplay
92,20204,James Vanderbilt,Screenplay
92,73609,Nicolas Wright,Screenplay
92,80019,James A. Woods,Screenplay
93,66193,Chris Sanders,Director
93,69797,Dean DeBlois,Director
93,12894,Bonnie Arnold,Producer
93,66193,Chris Sanders,Screenplay
93,69797,Dean DeBlois,Screenplay
93,138615,Will Davies,Screenplay
94,7213,Jonathan Mostow,Director
94,3986,Mario Kassar,Producer
94,7227,Hal Lieberman,Producer
94,7228,Joel B. Michaels,Producer
94,56967,Andrew G. Vajna,Producer
94,66185,Matthias Deyle,Producer
94,7214,John D. Brancato,Screenplay
94,7215,Michael Ferris,Screenplay
95,15218,James Gunn,Director
95,10850,Kevin Feige,Producer
95,15218,James Gunn,Screenplay
95,1171123,Nicole Perlman,Screenplay
96,525,Christopher Nolan,Director
96,525,Christopher Nolan,Producer
96,556,Emma Thomas,Producer
96,2162,Lynda Obst,Producer
97,525,Christopher Nolan,Director
97,525,Christopher Nolan,Producer
97,556,Emma Thomas,Producer
97,525,Christopher Nolan,Screenplay
98,77921,Hideaki Anno,Director
98,80752,Shinji Higuchi,Director
98,132118,Kazutoshi Wadakura,Producer
98,1109004,Yoshihiro Sat\u00f4,Producer
98,1537404,Taichi Ueda,Producer
98,1821075,Masaya Shibusawa,Producer
98,77921,Hideaki Anno,Screenplay
99,108,Peter Jackson,Director
99,108,Peter Jackson,Producer
99,126,Fran Walsh,Producer
99,3506,Carolynne Cunningham,Producer
99,53393,Zane Weiner,Producer
99,108,Peter Jackson,Screenplay
99,126,Fran Walsh,Screenplay
99,128,Philippa Boyens,Screenplay
99,10828,Guillermo del Toro,Screenplay
100,18878,Rob Cohen,Director
100,11874,Neal H. Moritz,Producer
100,8162,Gary Scott Thompson,Screenplay
100,19769,David Ayer,Screenplay
100,59327,Erik Bergquist,Screenplay
101,7467,David Fincher,Director
101,489,Kathleen Kennedy,Producer
101,664,Frank Marshall,Producer
101,7475,Ce\u00e1n Chaffin,Producer
101,27,Eric Roth,Screenplay
102,957,Matthew Vaughn,Director
102,7200,Lauren Shuler Donner,Producer
102,9032,Bryan Singer,Producer
102,11092,Simon Kinberg,Producer
102,120606,Gregory Goodman,Producer
103,10943,Francis Lawrence,Director
103,4446,Jon Kilik,Producer
103,935634,Nina Jacobson,Producer
103,35550,Danny Strong,Screenplay
103,225633,Peter Craig,Screenplay
104,12962,Jon Turteltaub,Director
104,81203,Doug Miro,Screenplay
104,121479,Carlo Bernard,Screenplay
105,5231,Wolfgang Petersen,Director
105,5231,Wolfgang Petersen,Producer
105,5575,Akiva Goldsman,Producer
105,6866,Todd Arnow,Producer
105,6867,Chris Briggs,Producer
105,6869,Mike Fleiss,Producer
105,6870,Duncan Henderson,Producer
105,6871,Barbara Huber,Producer
105,6873,Kimberly Miller,Producer
105,61091,Jon Jashni,Producer
105,6854,Mark Protosevich,Screenplay
106,26205,James Bobin,Director
106,510,Tim Burton,Producer
106,550,Jennifer Todd,Producer
106,551,Suzanne Todd,Producer
106,18311,Joe Roth,Producer
106,38792,Linda Woolverton,Screenplay
107,12098,Chris Miller,Director
107,12099,Raman Hui,Director
107,12106,Aron Warner,Producer
107,574003,Denise Nolan Cascino,Producer
107,12100,Jeffrey Price,Screenplay
107,12101,Peter S. Seaman,Screenplay
107,12105,Jon Zack,Screenplay
108,81850,Duncan Jones,Director
108,282,Charles Roven,Producer
108,465,Tessa Ross,Producer
108,37436,Alex Gartner,Producer
108,54211,Thomas Tull,Producer
108,61091,Jon Jashni,Producer
108,1997,Charles Leavitt,Screenplay
108,81850,Duncan Jones,Screenplay
109,47005,Alan Taylor,Director
109,29018,Dana Goldberg,Producer
109,58433,David Ellison,Producer
109,20294,Laeta Kalogridis,Screenplay
109,27226,Patrick Lussier,Screenplay
110,10781,Michael Apted,Director
110,5162,Mark Johnson,Producer
110,5524,Andrew Adamson,Producer
110,5541,Philip Steuer,Producer
110,1117948,Cort Kristensen,Producer
110,5551,Christopher Markus,Screenplay
110,5552,Stephen McFeely,Screenplay
110,61239,Michael Petroni,Screenplay
111,865,Michael Bay,Director
111,770,Jerry Bruckheimer,Producer
111,2448,Pat Sandston,Producer
111,865,Michael Bay,Producer
111,5545,K.C. Hodenfield,Producer
111,10118,Kenny Bates,Producer
111,10120,Jennifer Klein,Producer
111,2460,Randall Wallace,Screenplay
112,865,Michael Bay,Director
112,3183,Don Murphy,Producer
112,9987,Ian Bryce,Producer
112,10952,Lorenzo di Bonaventura,Producer
112,10994,Tom DeSanto,Producer
112,15345,Alex Kurtzman,Screenplay
112,15346,Roberto Orci,Screenplay
113,1152,Oliver Stone,Director
113,8374,Iain Smith,Producer
113,1152,Oliver Stone,Producer
113,2360,Thomas Sch\u00fchly,Producer
113,4446,Jon Kilik,Producer
113,20295,Moritz Borman,Producer
113,75476,Tabrez Noorani,Producer
113,1102197,Santa Pestonji,Producer
113,1152,Oliver Stone,Screenplay
113,20294,Laeta Kalogridis,Screenplay
113,20293,Christopher Kyle,Screenplay
114,11343,David Yates,Director
114,10968,David Heyman,Producer
114,10296,Michael Goldenberg,Screenplay
115,10723,Mike Newell,Director
115,10968,David Heyman,Producer
115,10967,Steve Kloves,Screenplay
116,36602,Peter Berg,Director
116,638,Michael Mann,Producer
116,2888,Will Smith,Producer
116,5575,Akiva Goldsman,Producer
116,46080,James Lassiter,Producer
116,66632,Vincent Ngo,Screenplay
116,66633,Vince Gilligan,Screenplay
117,10943,Francis Lawrence,Director
117,5575,Akiva Goldsman,Producer
117,10968,David Heyman,Producer
117,11874,Neal H. Moritz,Producer
117,46080,James Lassiter,Producer
117,49917,Tracy Torm\u00e9,Producer
117,5575,Akiva Goldsman,Screenplay
117,6854,Mark Protosevich,Screenplay
118,510,Tim Burton,Director
118,1297,Richard D. Zanuck,Producer
118,1298,Brad Grey,Producer
118,20643,Lorne Orleans,Producer
118,1299,Roald Dahl,Screenplay
118,1300,John August,Screenplay
119,7930,Jan Pinkava,Director
119,7087,Brad Bird,Director
119,32532,Brad Lewis,Producer
119,7087,Brad Bird,Screenplay
120,525,Christopher Nolan,Director
120,511,Larry J. Franco,Producer
120,282,Charles Roven,Producer
120,556,Emma Thomas,Producer
120,20643,Lorne Orleans,Producer
120,525,Christopher Nolan,Screenplay
120,3893,David S. Goyer,Screenplay
121,18863,Eric Darnell,Director
121,18864,Tom McGrath,Director
122,17825,Shawn Levy,Director
122,10965,Chris Columbus,Producer
122,17825,Shawn Levy,Producer
122,17828,Michael Barnathan,Producer
122,539,Thomas Lennon,Screenplay
123,13079,Gavin Hood,Director
123,6968,Hugh Jackman,Producer
123,7200,Lauren Shuler Donner,Producer
123,7626,Avi Arad,Producer
123,9813,David Benioff,Screenplay
124,9339,Lilly Wachowski,Director
124,9340,Lana Wachowski,Director
124,1091,Joel Silver,Producer
124,9339,Lilly Wachowski,Screenplay
124,9340,Lana Wachowski,Screenplay
125,15774,Chris Buck,Director
125,1120694,Jennifer Lee,Director
125,61416,Peter Del Vecho,Producer
125,1120694,Jennifer Lee,Screenplay
126,9339,Lilly Wachowski,Director
126,9340,Lana Wachowski,Director
126,1091,Joel Silver,Producer
126,9339,Lilly Wachowski,Screenplay
126,9340,Lana Wachowski,Screenplay
127,47005,Alan Taylor,Director
127,10850,Kevin Feige,Producer
127,11181,Kenneth Branagh,Producer
127,5551,Christopher Markus,Screenplay
127,5552,Stephen McFeely,Screenplay
127,109542,Christopher Yost,Screenplay
128,20629,George Miller,Director
128,20629,George Miller,Producer
128,11651,Doug Mitchell,Producer
128,1518756,P.J. Voeten,Producer
129,6159,Ron Howard,Director
129,339,Brian Grazer,Producer
129,6159,Ron Howard,Producer
129,6186,Kathleen McGill,Producer
129,6188,Louisa Velis,Producer
129,8406,John Calley,Producer
129,8419,William M. Connor,Producer
129,1114890,Anna Culp,Producer
129,508,David Koepp,Screenplay
129,5575,Akiva Goldsman,Screenplay
130,11181,Kenneth Branagh,Director
130,10850,Kevin Feige,Producer
130,20401,Don Payne,Screenplay
130,67484,Ashley Edward Miller,Screenplay
130,67485,Zack Stentz,Screenplay
131,70238,Chris Williams,Director
131,76595,Byron Howard,Director
131,69798,Clark Spencer,Producer
131,15892,Dan Fogelman,Screenplay
131,70238,Chris Williams,Screenplay
132,84851,Hoyt Yeatman,Director
132,1705,Ted Elliott,Screenplay
132,1706,Terry Rossio,Screenplay
132,21158,Cormac Wibberley,Screenplay
132,21159,Marianne Wibberley,Screenplay
132,55690,Tim Firth,Screenplay
133,66739,Jonathan Liebesman,Director
133,67759,Basil Iwanyk,Producer
133,113987,Polly Johnsen,Producer
133,142686,David Leslie Johnson,Screenplay
133,937234,Dan Mazeau,Screenplay
134,510,Tim Burton,Director
134,85,Johnny Depp,Producer
134,1297,Richard D. Zanuck,Producer
134,16729,Graham King,Producer
134,938107,Christi Dembrowski,Producer
134,938108,David Kennedy,Producer
134,565491,Seth Grahame-Smith,Screenplay
135,9033,Christopher McQuarrie,Director
135,500,Tom Cruise,Producer
135,15344,J.J. Abrams,Producer
135,28977,Bryan Burk,Producer
135,56737,Don Granger,Producer
135,58433,David Ellison,Producer
135,9033,Christopher McQuarrie,Screenplay
136,4945,Joe Johnston,Director
136,1121,Benicio del Toro,Producer
136,7779,Sean Daniel,Producer
136,19282,Scott Stuber,Producer
136,30714,Rick Yorn,Producer
